name,wwise_path,file_path,LUFS-I,LUFS-M-MAX,音频时长,OutPutBus_BusVolume,OutPutBus_Volume,父级名1,父级音量1,父级MakeUpGain1,父级名2,父级音量2,父级MakeUpGain2,父级名3,父级音量3,父级MakeUpGain3,父级名4,父级音量4,父级MakeUpGain4,父级名5,父级音量5,父级MakeUpGain5,父级名6,父级音量6,父级MakeUpGain6,父级名7,父级音量7,父级MakeUpGain7,父级名8,父级音量8,父级MakeUpGain8,父级名9,父级音量9,父级MakeUpGain9,父级名10,父级音量10,父级MakeUpGain10,父级名11,父级音量11,父级MakeUpGain11,父级名12,父级音量12,父级MakeUpGain12
UI_ConstructSystem_NS_Build,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C_Interaction\3C_Interaction_OBT\Interaction_Build\UI_ConstructSystem_NS_Build\UI_ConstructSystem_NS_Build,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\UI\UI_ConstructSystem_NS_Build.wav,-29.4551801058884,-24.665272588063043,"{'max': 1.4668124914169312, 'min': 1.4668124914169312, 'type': 'oneShot'}",-2.0,-2.0,UI_ConstructSystem_NS_Build,0.0,-12.0,Interaction_Build,,,3C_Interaction_OBT,,,X6_3C_Interaction,,,X6_Audio,0.0,0.0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,
Vfs_NS_DelayedPollen_01,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C_Interaction\3C_Interaction_OBT\Interaction_Fight\Flower\Vfs_NS_DelayedPollen_01\Vfs_NS_DelayedPollen_01,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\Interaction\Vfs_NS_DelayedPollen_01.wav,-23.094466809944524,-16.166370907242708,"{'max': 7.3745622634887695, 'min': 7.3745622634887695, 'type': 'oneShot'}",-2.0,-2.0,Vfs_NS_DelayedPollen_01,-8.0,0.0,Flower,0.0,0.0,Interaction_Fight,,,3C_Interaction_OBT,,,X6_3C_Interaction,,,X6_Audio,0.0,0.0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,
low_E_vibrato_1,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C_Interaction\3C_Interaction_OBT\Interaction_World_Violin\detache\low\e4\vibrato\low_E_vibrato_1\low_E_vibrato_1,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\low_E_vibrato_1.wav,-21.722599498270174,-20.595576760201045,"{'max': 3.0, 'min': 3.0, 'type': 'oneShot'}",0.0,0.0,low_E_vibrato_1,0.0,0.0,vibrato,0.0,0.0,e4,0.0,0.0,low,0.0,0.0,detache,-18.0,0.0,Interaction_World_Violin,,,3C_Interaction_OBT,,,X6_3C_Interaction,,,X6_Audio,0.0,0.0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,
low_E_vibrato_2,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C_Interaction\3C_Interaction_OBT\Interaction_World_Violin\detache\low\e4\vibrato\low_E_vibrato_2\low_E_vibrato_2,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\low_E_vibrato_2.wav,-21.667110942158036,-20.869314037008788,"{'max': 3.0, 'min': 3.0, 'type': 'oneShot'}",0.0,0.0,low_E_vibrato_2,0.0,0.0,vibrato,0.0,0.0,e4,0.0,0.0,low,0.0,0.0,detache,-18.0,0.0,Interaction_World_Violin,,,3C_Interaction_OBT,,,X6_3C_Interaction,,,X6_Audio,0.0,0.0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,
low_E_vibrato_3,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C_Interaction\3C_Interaction_OBT\Interaction_World_Violin\detache\low\e4\vibrato\low_E_vibrato_3\low_E_vibrato_3,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\low_E_vibrato_3.wav,-22.111646281491534,-21.419522096342792,"{'max': 3.0, 'min': 3.0, 'type': 'oneShot'}",0.0,0.0,low_E_vibrato_3,0.0,0.0,vibrato,0.0,0.0,e4,0.0,0.0,low,0.0,0.0,detache,-18.0,0.0,Interaction_World_Violin,,,3C_Interaction_OBT,,,X6_3C_Interaction,,,X6_Audio,0.0,0.0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,
low_E_head,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C_Interaction\3C_Interaction_OBT\Interaction_World_Violin\detache\low\e4\head\low_E_head,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\low_E_head.wav,-25.644252386137826,-26.795076458573057,"{'max': 0.5, 'min': 0.5, 'type': 'oneShot'}",0.0,0.0,head,0.0,0.0,e4,0.0,0.0,low,0.0,0.0,detache,-18.0,0.0,Interaction_World_Violin,,,3C_Interaction_OBT,,,X6_3C_Interaction,,,X6_Audio,0.0,0.0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,
low_G_vibrato_1,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C_Interaction\3C_Interaction_OBT\Interaction_World_Violin\detache\low\g4\vibrato\low_G_vibrato_1\low_G_vibrato_1,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\low_G_vibrato_1.wav,-19.185538606069752,-18.073047178842614,"{'max': 3.0, 'min': 3.0, 'type': 'oneShot'}",0.0,0.0,low_G_vibrato_1,0.0,0.0,vibrato,0.0,0.0,g4,0.0,0.0,low,0.0,0.0,detache,-18.0,0.0,Interaction_World_Violin,,,3C_Interaction_OBT,,,X6_3C_Interaction,,,X6_Audio,0.0,0.0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,
low_G_vibrato_2,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C_Interaction\3C_Interaction_OBT\Interaction_World_Violin\detache\low\g4\vibrato\low_G_vibrato_2\low_G_vibrato_2,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\low_G_vibrato_2.wav,-18.668721240999748,-17.38106575856404,"{'max': 3.0, 'min': 3.0, 'type': 'oneShot'}",0.0,0.0,low_G_vibrato_2,0.0,0.0,vibrato,0.0,0.0,g4,0.0,0.0,low,0.0,0.0,detache,-18.0,0.0,Interaction_World_Violin,,,3C_Interaction_OBT,,,X6_3C_Interaction,,,X6_Audio,0.0,0.0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,
low_G_vibrato_3,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C_Interaction\3C_Interaction_OBT\Interaction_World_Violin\detache\low\g4\vibrato\low_G_vibrato_3\low_G_vibrato_3,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\low_G_vibrato_3.wav,-19.44608796496462,-18.507353845887465,"{'max': 3.0, 'min': 3.0, 'type': 'oneShot'}",0.0,0.0,low_G_vibrato_3,0.0,0.0,vibrato,0.0,0.0,g4,0.0,0.0,low,0.0,0.0,detache,-18.0,0.0,Interaction_World_Violin,,,3C_Interaction_OBT,,,X6_3C_Interaction,,,X6_Audio,0.0,0.0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,
low_G_head,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C_Interaction\3C_Interaction_OBT\Interaction_World_Violin\detache\low\g4\head\low_G_head,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\low_G_head.wav,-27.362720142295395,-28.61011660555968,"{'max': 0.4699346423149109, 'min': 0.4699346423149109, 'type': 'oneShot'}",0.0,0.0,head,0.0,0.0,g4,0.0,0.0,low,0.0,0.0,detache,-18.0,0.0,Interaction_World_Violin,,,3C_Interaction_OBT,,,X6_3C_Interaction,,,X6_Audio,0.0,0.0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,
low_B_vibrato_1,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C_Interaction\3C_Interaction_OBT\Interaction_World_Violin\detache\low\b4\vibrato\low_B_vibrato_1\low_B_vibrato_1,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\low_B_vibrato_1.wav,-20.326951609413545,-19.45815894419607,"{'max': 3.0, 'min': 3.0, 'type': 'oneShot'}",0.0,0.0,low_B_vibrato_1,0.0,0.0,vibrato,0.0,0.0,b4,0.0,0.0,low,0.0,0.0,detache,-18.0,0.0,Interaction_World_Violin,,,3C_Interaction_OBT,,,X6_3C_Interaction,,,X6_Audio,0.0,0.0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,
low_B_vibrato_2,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C_Interaction\3C_Interaction_OBT\Interaction_World_Violin\detache\low\b4\vibrato\low_B_vibrato_2\low_B_vibrato_2,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\low_B_vibrato_2.wav,-20.5975127025979,-19.12426864517051,"{'max': 3.0, 'min': 3.0, 'type': 'oneShot'}",0.0,0.0,low_B_vibrato_2,0.0,0.0,vibrato,0.0,0.0,b4,0.0,0.0,low,0.0,0.0,detache,-18.0,0.0,Interaction_World_Violin,,,3C_Interaction_OBT,,,X6_3C_Interaction,,,X6_Audio,0.0,0.0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,
low_B_vibrato_3,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C_Interaction\3C_Interaction_OBT\Interaction_World_Violin\detache\low\b4\vibrato\low_B_vibrato_3\low_B_vibrato_3,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\low_B_vibrato_3.wav,-19.211071037869097,-18.316785817198276,"{'max': 3.0, 'min': 3.0, 'type': 'oneShot'}",0.0,0.0,low_B_vibrato_3,0.0,0.0,vibrato,0.0,0.0,b4,0.0,0.0,low,0.0,0.0,detache,-18.0,0.0,Interaction_World_Violin,,,3C_Interaction_OBT,,,X6_3C_Interaction,,,X6_Audio,0.0,0.0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,
low_B_head,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C_Interaction\3C_Interaction_OBT\Interaction_World_Violin\detache\low\b4\head\low_B_head,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\low_B_head.wav,-27.276915454589677,-29.8912922720326,"{'max': 0.47517427802085876, 'min': 0.47517427802085876, 'type': 'oneShot'}",0.0,0.0,head,0.0,0.0,b4,0.0,0.0,low,0.0,0.0,detache,-18.0,0.0,Interaction_World_Violin,,,3C_Interaction_OBT,,,X6_3C_Interaction,,,X6_Audio,0.0,0.0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,
low_A_vibrato_1,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C_Interaction\3C_Interaction_OBT\Interaction_World_Violin\detache\low\a4\vibrato\low_A_vibrato_1\low_A_vibrato_1,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\low_A_vibrato_1.wav,-21.779980222244177,-19.702572721582033,"{'max': 3.0, 'min': 3.0, 'type': 'oneShot'}",0.0,0.0,low_A_vibrato_1,0.0,0.0,vibrato,0.0,0.0,a4,0.0,0.0,low,0.0,0.0,detache,-18.0,0.0,Interaction_World_Violin,,,3C_Interaction_OBT,,,X6_3C_Interaction,,,X6_Audio,0.0,0.0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,
low_A_vibrato_2,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C_Interaction\3C_Interaction_OBT\Interaction_World_Violin\detache\low\a4\vibrato\low_A_vibrato_2\low_A_vibrato_2,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\low_A_vibrato_2.wav,-19.133284669347766,-18.305488590089787,"{'max': 3.0, 'min': 3.0, 'type': 'oneShot'}",0.0,0.0,low_A_vibrato_2,0.0,0.0,vibrato,0.0,0.0,a4,0.0,0.0,low,0.0,0.0,detache,-18.0,0.0,Interaction_World_Violin,,,3C_Interaction_OBT,,,X6_3C_Interaction,,,X6_Audio,0.0,0.0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,
low_A_vibrato_3,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C_Interaction\3C_Interaction_OBT\Interaction_World_Violin\detache\low\a4\vibrato\low_A_vibrato_3\low_A_vibrato_3,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\low_A_vibrato_3.wav,-21.788059096745847,-20.048163261033075,"{'max': 3.0, 'min': 3.0, 'type': 'oneShot'}",0.0,0.0,low_A_vibrato_3,0.0,0.0,vibrato,0.0,0.0,a4,0.0,0.0,low,0.0,0.0,detache,-18.0,0.0,Interaction_World_Violin,,,3C_Interaction_OBT,,,X6_3C_Interaction,,,X6_Audio,0.0,0.0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,
low_A_head,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C_Interaction\3C_Interaction_OBT\Interaction_World_Violin\detache\low\a4\head\low_A_head,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\low_A_head.wav,-27.303818656969025,-28.379925400869507,"{'max': 0.46078431606292725, 'min': 0.46078431606292725, 'type': 'oneShot'}",0.0,0.0,head,0.0,0.0,a4,0.0,0.0,low,0.0,0.0,detache,-18.0,0.0,Interaction_World_Violin,,,3C_Interaction_OBT,,,X6_3C_Interaction,,,X6_Audio,0.0,0.0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,
low_C_vibrato_1,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C_Interaction\3C_Interaction_OBT\Interaction_World_Violin\detache\low\c4\vibrato\low_C_vibrato_1\low_C_vibrato_1,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\low_C_vibrato_1.wav,-22.03195975578878,-21.56717351353547,"{'max': 3.0, 'min': 3.0, 'type': 'oneShot'}",0.0,0.0,low_C_vibrato_1,0.0,0.0,vibrato,0.0,0.0,c4,0.0,0.0,low,0.0,0.0,detache,-18.0,0.0,Interaction_World_Violin,,,3C_Interaction_OBT,,,X6_3C_Interaction,,,X6_Audio,0.0,0.0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,
low_C_vibrato_2,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C_Interaction\3C_Interaction_OBT\Interaction_World_Violin\detache\low\c4\vibrato\low_C_vibrato_2\low_C_vibrato_2,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\low_C_vibrato_2.wav,-21.816836473346527,-20.394162844156135,"{'max': 3.0, 'min': 3.0, 'type': 'oneShot'}",0.0,0.0,low_C_vibrato_2,0.0,0.0,vibrato,0.0,0.0,c4,0.0,0.0,low,0.0,0.0,detache,-18.0,0.0,Interaction_World_Violin,,,3C_Interaction_OBT,,,X6_3C_Interaction,,,X6_Audio,0.0,0.0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,
low_C_vibrato_3,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C_Interaction\3C_Interaction_OBT\Interaction_World_Violin\detache\low\c4\vibrato\low_C_vibrato_3\low_C_vibrato_3,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\low_C_vibrato_3.wav,-19.979105643285145,-18.60436082638194,"{'max': 3.0, 'min': 3.0, 'type': 'oneShot'}",0.0,0.0,low_C_vibrato_3,0.0,0.0,vibrato,0.0,0.0,c4,0.0,0.0,low,0.0,0.0,detache,-18.0,0.0,Interaction_World_Violin,,,3C_Interaction_OBT,,,X6_3C_Interaction,,,X6_Audio,0.0,0.0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,
low_C_head,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C_Interaction\3C_Interaction_OBT\Interaction_World_Violin\detache\low\c4\head\low_C_head,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\low_C_head.wav,-25.551970958591344,-26.871188754122077,"{'max': 0.4954248368740082, 'min': 0.4954248368740082, 'type': 'oneShot'}",0.0,0.0,head,0.0,0.0,c4,0.0,0.0,low,0.0,0.0,detache,-18.0,0.0,Interaction_World_Violin,,,3C_Interaction_OBT,,,X6_3C_Interaction,,,X6_Audio,0.0,0.0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,
low_F_vibrato_1,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C_Interaction\3C_Interaction_OBT\Interaction_World_Violin\detache\low\f4\vibrato\low_F_vibrato_1\low_F_vibrato_1,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\low_F_vibrato_1.wav,-20.193885233524973,-18.959968714857396,"{'max': 3.0, 'min': 3.0, 'type': 'oneShot'}",0.0,0.0,low_F_vibrato_1,0.0,0.0,vibrato,0.0,0.0,f4,0.0,0.0,low,0.0,0.0,detache,-18.0,0.0,Interaction_World_Violin,,,3C_Interaction_OBT,,,X6_3C_Interaction,,,X6_Audio,0.0,0.0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,
low_F_vibrato_2,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C_Interaction\3C_Interaction_OBT\Interaction_World_Violin\detache\low\f4\vibrato\low_F_vibrato_2\low_F_vibrato_2,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\low_F_vibrato_2.wav,-20.33438357088235,-19.35991426261344,"{'max': 3.0, 'min': 3.0, 'type': 'oneShot'}",0.0,0.0,low_F_vibrato_2,0.0,0.0,vibrato,0.0,0.0,f4,0.0,0.0,low,0.0,0.0,detache,-18.0,0.0,Interaction_World_Violin,,,3C_Interaction_OBT,,,X6_3C_Interaction,,,X6_Audio,0.0,0.0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,
low_F_vibrato_3,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C_Interaction\3C_Interaction_OBT\Interaction_World_Violin\detache\low\f4\vibrato\low_F_vibrato_3\low_F_vibrato_3,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\low_F_vibrato_3.wav,-21.34954071735071,-20.515626858967654,"{'max': 3.0, 'min': 3.0, 'type': 'oneShot'}",0.0,0.0,low_F_vibrato_3,0.0,0.0,vibrato,0.0,0.0,f4,0.0,0.0,low,0.0,0.0,detache,-18.0,0.0,Interaction_World_Violin,,,3C_Interaction_OBT,,,X6_3C_Interaction,,,X6_Audio,0.0,0.0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,
low_F_head,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C_Interaction\3C_Interaction_OBT\Interaction_World_Violin\detache\low\f4\head\low_F_head,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\low_F_head.wav,-26.297999407923058,-27.766603648070163,"{'max': 0.5, 'min': 0.5, 'type': 'oneShot'}",0.0,0.0,head,0.0,0.0,f4,0.0,0.0,low,0.0,0.0,detache,-18.0,0.0,Interaction_World_Violin,,,3C_Interaction_OBT,,,X6_3C_Interaction,,,X6_Audio,0.0,0.0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,
