LUFS-I-InGame,LUFS-M-InGame,name,wwise_path,file_path,LUFS-I,LUFS-M-MAX,音频时长,OutPutBus_BusVolume,OutPutBus_Volume,父级名1,父级音量1,父级MakeUpGain1,父级名2,父级音量2,父级MakeUpGain2,父级名3,父级音量3,父级MakeUpGain3,父级名4,父级音量4,父级MakeUpGain4,父级名5,父级音量5,父级MakeUpGain5,父级名6,父级音量6,父级MakeUpGain6,父级名7,父级音量7,父级MakeUpGain7,父级名8,父级音量8,父级MakeUpGain8,父级名9,父级音量9,父级MakeUpGain9,父级名10,父级音量10,父级MakeUpGain10,父级名11,父级音量11,父级MakeUpGain11,父级名12,父级音量12,父级MakeUpGain12,父级名13,父级音量13,父级MakeUpGain13,父级名14,父级音量14,父级MakeUpGain14,MainMix+MasterAudio
-44.8 ,-37.2 ,Sfx_LS_Evolution_Common_LV03_Sexy_Master,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_Cutscene\Cutscene_ClothingEvolution\Cutscene_ClothingEvolution\Sfx_LS_Evolution_Common_LV03_Sexy_Master\Sfx_LS_Evolution_Common_LV03_Sexy_Master,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\Sfx_LS_Evolution_Common_LV03_Sexy_Master.wav,-41.8 ,-34.2 ,"{'max': 12.470000267028809, 'min': 12.470000267028809, 'type': 'oneShot'}",0,0,Sfx_LS_Evolution_Common_LV03_Sexy_Master,-6,0,Cutscene_ClothingEvolution,0,0,Cutscene_ClothingEvolution,,,X6_Cutscene,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-41.6 ,-32.9 ,Sfx_LS_Evolution_S0145_LV04_Master,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_Cutscene\Cutscene_ClothingEvolution\Cutscene_ClothingEvolution\Sfx_LS_Evolution_S0145_LV04_Master\Sfx_LS_Evolution_S0145_LV04_Master,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\LS\Sfx_LS_Evolution_S0145_LV04_Master.wav,-31.6 ,-22.9 ,"{'max': 36.36404037475586, 'min': 36.36404037475586, 'type': 'oneShot'}",0,0,Sfx_LS_Evolution_S0145_LV04_Master,-13,0,Cutscene_ClothingEvolution,0,0,Cutscene_ClothingEvolution,,,X6_Cutscene,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-43.2 ,-35.1 ,Sfx_LS_Evolution_S0165_LV04_Master _01,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_Cutscene\Cutscene_ClothingEvolution\Cutscene_ClothingEvolution\Sfx_LS_Evolution_S0165_LV04_Master\Sfx_LS_Evolution_S0165_LV04_Master _01,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\LS\Sfx_LS_Evolution_S0165_LV04_Master .wav,-30.2 ,-22.1 ,"{'max': 26.457834243774414, 'min': 26.457834243774414, 'type': 'oneShot'}",0,0,Sfx_LS_Evolution_S0165_LV04_Master,-16,0,Cutscene_ClothingEvolution,0,0,Cutscene_ClothingEvolution,,,X6_Cutscene,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-43.8 ,-33.7 ,Sfx_LS_Evolution_S0128_LV04_Master,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_Cutscene\Cutscene_ClothingEvolution\Cutscene_ClothingEvolution\Sfx_LS_Evolution_S0128_LV04_Master\Sfx_LS_Evolution_S0128_LV04_Master,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\LS\Sfx_LS_Evolution_S0128_LV04_Master.wav,-37.8 ,-27.7 ,"{'max': 32.79999923706055, 'min': 32.79999923706055, 'type': 'oneShot'}",0,0,Sfx_LS_Evolution_S0128_LV04_Master,-9,0,Cutscene_ClothingEvolution,0,0,Cutscene_ClothingEvolution,,,X6_Cutscene,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-47.7 ,-38.9 ,Sfx_LS_Evolution_S0161_LV04_Master,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_Cutscene\Cutscene_ClothingEvolution\Cutscene_ClothingEvolution\Sfx_LS_Evolution_S0161_LV04_Master\Sfx_LS_Evolution_S0161_LV04_Master,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\LS\Sfx_LS_Evolution_S0161_LV04_Master.wav,-35.7 ,-26.9 ,"{'max': 28.305999755859375, 'min': 28.305999755859375, 'type': 'oneShot'}",0,0,Sfx_LS_Evolution_S0161_LV04_Master,-15,0,Cutscene_ClothingEvolution,0,0,Cutscene_ClothingEvolution,,,X6_Cutscene,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-47.2 ,-38.1 ,Sfx_LS_Evolution_S0161_LV04_Master_v2,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_Cutscene\Cutscene_ClothingEvolution\Cutscene_ClothingEvolution\Sfx_LS_Evolution_S0161_LV04_Master\Sfx_LS_Evolution_S0161_LV04_Master_v2,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\LS\Sfx_LS_Evolution_S0161_LV04_Master_v2.wav,-35.2 ,-26.1 ,"{'max': 30.200332641601562, 'min': 30.200332641601562, 'type': 'oneShot'}",0,0,Sfx_LS_Evolution_S0161_LV04_Master,-15,0,Cutscene_ClothingEvolution,0,0,Cutscene_ClothingEvolution,,,X6_Cutscene,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-44.4 ,-36.9 ,Sfx_LS_Evolution_S0062_LV04_Master,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_Cutscene\Cutscene_ClothingEvolution\Cutscene_ClothingEvolution\Sfx_LS_Evolution_S0062_LV04_Master\Sfx_LS_Evolution_S0062_LV04_Master,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\LS\Sfx_LS_Evolution_S0062_LV04_Master.wav,-35.4 ,-27.9 ,"{'max': 28.219999313354492, 'min': 28.219999313354492, 'type': 'oneShot'}",0,0,Sfx_LS_Evolution_S0062_LV04_Master,-12,0,Cutscene_ClothingEvolution,0,0,Cutscene_ClothingEvolution,,,X6_Cutscene,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-46.8 ,-39.2 ,Sfx_LS_Suit_Butterfly_Show,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_Cutscene\Cutscene_ClothingEvolution\Cutscene_ClothingEvolution\Sfx_LS_Suit_Butterfly_Show\Sfx_LS_Suit_Butterfly_Show,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\LS\Sfx_LS_Suit_Butterfly_Show.wav,-34.8 ,-27.2 ,"{'max': 29.97333335876465, 'min': 29.97333335876465, 'type': 'oneShot'}",0,0,Sfx_LS_Suit_Butterfly_Show,-15,0,Cutscene_ClothingEvolution,0,0,Cutscene_ClothingEvolution,,,X6_Cutscene,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-37.2 ,-28.1 ,Sfx_LS_Evolution_S0129_LV04_Master,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_Cutscene\Cutscene_ClothingEvolution\Cutscene_ClothingEvolution\Sfx_LS_Evolution_S0129_LV04_Master\Sfx_LS_Evolution_S0129_LV04_Master,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\LS\Sfx_LS_Evolution_S0129_LV04_Master.wav,-32.2 ,-23.1 ,"{'max': 32.00202178955078, 'min': 32.00202178955078, 'type': 'oneShot'}",0,0,Sfx_LS_Evolution_S0129_LV04_Master,-8,0,Cutscene_ClothingEvolution,0,0,Cutscene_ClothingEvolution,,,X6_Cutscene,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-38.2 ,-28.4 ,Sfx_LS_Evolution_S0001_LV04_Master,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_Cutscene\Cutscene_ClothingEvolution\Cutscene_ClothingEvolution\Sfx_LS_Evolution_S0001_LV04_Master\Sfx_LS_Evolution_S0001_LV04_Master,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\LS\Sfx_LS_Evolution_S0001_LV04_Master.wav,-28.2 ,-18.4 ,"{'max': 24.0, 'min': 24.0, 'type': 'oneShot'}",0,0,Sfx_LS_Evolution_S0001_LV04_Master,-13,0,Cutscene_ClothingEvolution,0,0,Cutscene_ClothingEvolution,,,X6_Cutscene,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
