LUFS-I-InGame,LUFS-M-InGame,name,wwise_path,file_path,LUFS-I,LUFS-M-MAX,音频时长,OutPutBus_BusVolume,OutPutBus_Volume,父级名1,父级音量1,父级MakeUpGain1,父级名2,父级音量2,父级MakeUpGain2,父级名3,父级音量3,父级MakeUpGain3,父级名4,父级音量4,父级MakeUpGain4,父级名5,父级音量5,父级MakeUpGain5,父级名6,父级音量6,父级MakeUpGain6,父级名7,父级音量7,父级MakeUpGain7,父级名8,父级音量8,父级MakeUpGain8,父级名9,父级音量9,父级MakeUpGain9,父级名10,父级音量10,父级MakeUpGain10,父级名11,父级音量11,父级MakeUpGain11,父级名12,父级音量12,父级MakeUpGain12,父级名13,父级音量13,父级MakeUpGain13,父级名14,父级音量14,父级MakeUpGain14,父级名15,父级音量15,父级MakeUpGain15,父级名16,父级音量16,父级MakeUpGain16,父级名17,父级音量17,父级MakeUpGain17,父级名18,父级音量18,父级MakeUpGain18,Main_Mix&MasterAudio
-17.4 ,-15.0 ,SFX_3C_Nikki_Skill_FountainFlower_OnEnter_R01,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\Dev1_5_1_3C\Dev1_5_1_3C\Nikki_Skill_1_5_1\Nikki_Skill_Fountain\Nikki_FountainFlower\Nikki_FountainFlower_SpatializationMix\SFX_3C_Nikki_Skill_FountainFlower_OnEnter_01\SFX_3C_Nikki_Skill_FountainFlower_OnEnter_R01\SFX_3C_Nikki_Skill_FountainFlower_OnEnter_R01,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\Char\Skill\Fountain\SFX_3C_Nikki_Skill_FountainFlower_OnEnter_R01.wav,-20.4 ,-18.0 ,"{'max': 4.063604354858398, 'min': 4.063604354858398, 'type': 'oneShot'}",0,0,SFX_3C_Nikki_Skill_FountainFlower_OnEnter_R01,0,0,SFX_3C_Nikki_Skill_FountainFlower_OnEnter_01,0,0,Nikki_FountainFlower_SpatializationMix,0,0,Nikki_FountainFlower,0,0,Nikki_Skill_Fountain,0,0,Nikki_Skill_1_5_1,0,0,Dev1_5_1_3C,0,0,Dev1_5_1_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,3
-17.6 ,-13.7 ,nikki_Float_start_V3_01,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\OBT_3C\Nikki_Skill\Nikki_Skill\Nikki_Skill_OBT\Nikki_SfX\Nikki_Ability\Nikki_Skill_Float\Nikki_Skill_Float\Nikki_Skill_Float_Default\nikki_Float_start_V2\nikki_Float_start_V3_01,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\SFX\nikki\float\nikki_Float_start_V3.wav,-22.6 ,-18.7 ,"{'max': 5.795916557312012, 'min': 5.795916557312012, 'type': 'oneShot'}",0,0,nikki_Float_start_V2,0,0,Nikki_Skill_Float_Default,0,0,Nikki_Skill_Float,0,0,Nikki_Skill_Float,,,Nikki_Ability,4,0,Nikki_SfX,,,Nikki_Skill_OBT,,,Nikki_Skill,-2,0,Nikki_Skill,,,OBT_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,3
-17.6 ,-15.0 ,nikki_skill_recovery_spell_throw_v2,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\OBT_3C\Nikki_Skill\Nikki_Skill\Nikki_Skill_OBT\Nikki_SfX\Nikki_Ability\Nikki_Skill_Recovery\Nikki_Skill_Recovery_Cast\nikki_skill_recovery_spell_throw\nikki_skill_recovery_spell_throw_v2,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\SFX\nikki\skill\nikki_skill_recovery_spell_throw_v2.wav,-14.6 ,-12.0 ,"{'max': 1.6829792261123657, 'min': 1.6829792261123657, 'type': 'oneShot'}",0,0,nikki_skill_recovery_spell_throw,-6,0,Nikki_Skill_Recovery_Cast,-2,0,Nikki_Skill_Recovery,,,Nikki_Ability,4,0,Nikki_SfX,,,Nikki_Skill_OBT,,,Nikki_Skill,-2,0,Nikki_Skill,,,OBT_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,3
-17.7 ,-15.4 ,nikki_skill_fall_start_v4,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\Ability\Nikki_Common_Obsolete\nikki_skill\nikki_skill_fall_start\nikki_skill_fall_start_v4,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\SFX\nikki\skill\fall\nikki_skill_fall_start_v4.wav,-16.7 ,-14.4 ,"{'max': 1.2666250467300415, 'min': 1.2666250467300415, 'type': 'oneShot'}",0,0,nikki_skill_fall_start,-4,0,nikki_skill,0,0,Nikki_Common_Obsolete,,,Ability,0,0,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,,,,,,,3
-17.9 ,-17.0 ,Sfx_3C_Nikki_Skill_NS_Fight_Clothing_S0331_Monster_Hit_yc_R02,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\Dev_1_8_3C\Dev_1_8_3C\Nikki_Skill_1_8\Nikki_Skill_FlowerCat\Sfx_3C_Nikki_Skill_NS_Fight_Clothing_S0331_Monster_Hit_yc\Sfx_3C_Nikki_Skill_NS_Fight_Clothing_S0331_Monster_Hit_yc_R02\Sfx_3C_Nikki_Skill_NS_Fight_Clothing_S0331_Monster_Hit_yc_R02,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\Char\Skill\FlowerCat\Sfx_3C_Nikki_Skill_NS_Fight_Clothing_S0331_Monster_Hit_yc_R02.wav,-20.9 ,-20.0 ,"{'max': 0.573356032371521, 'min': 0.573356032371521, 'type': 'oneShot'}",0,0,Sfx_3C_Nikki_Skill_NS_Fight_Clothing_S0331_Monster_Hit_yc_R02,0,0,Sfx_3C_Nikki_Skill_NS_Fight_Clothing_S0331_Monster_Hit_yc,10,0,Nikki_Skill_FlowerCat,-10,0,Nikki_Skill_1_8,0,0,Dev_1_8_3C,0,0,Dev_1_8_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-18.0 ,-14.9 ,nikki_skill_cleanse_spell_v2,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\OBT_3C\Nikki_Skill\Nikki_Skill\Nikki_Skill_OBT\Nikki_SfX\Nikki_Ability\Nikki_Skill_Purege\Nikki_Skill_Purege\Nikki_Skill_CBT3\nikki_skill_cleanse_spell\nikki_skill_cleanse_spell_v2,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\SFX\nikki\skill\20240104\v2\nikki_skill_cleanse_spell_v2.wav,-20.0 ,-16.9 ,"{'max': 1.2560104131698608, 'min': 1.2560104131698608, 'type': 'oneShot'}",0,0,nikki_skill_cleanse_spell,-14,0,Nikki_Skill_CBT3,5,0,Nikki_Skill_Purege,6,0,Nikki_Skill_Purege,,,Nikki_Ability,4,0,Nikki_SfX,,,Nikki_Skill_OBT,,,Nikki_Skill,-2,0,Nikki_Skill,,,OBT_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,3
-18.0 ,-14.9 ,nikki_skill_cleanse_spell_v2_01,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\OBT_3C\Nikki_Skill\Nikki_Skill\Nikki_Skill_OBT\Nikki_SfX\Nikki_Ability\Nikki_Skill_Purege\Nikki_Skill_Purege\Nikki_Skill_CBT3\nikki_skill_cleanse_spell\nikki_skill_cleanse_spell_v2_01,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\SFX\nikki\skill\20240104\v2\nikki_skill_cleanse_spell_v2.wav,-20.0 ,-16.9 ,"{'max': 1.2560104131698608, 'min': 1.2560104131698608, 'type': 'oneShot'}",0,0,nikki_skill_cleanse_spell,-14,0,Nikki_Skill_CBT3,5,0,Nikki_Skill_Purege,6,0,Nikki_Skill_Purege,,,Nikki_Ability,4,0,Nikki_SfX,,,Nikki_Skill_OBT,,,Nikki_Skill,-2,0,Nikki_Skill,,,OBT_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,3
-18.0 ,-14.0 ,Vo_Nikki_Std_Idle_Action_end02,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\Dev1_5_1_3C\Dev1_5_1_3C\Nikki_Skill_1_5_1\Nikki_Skill_Pillow\Nikki_Skill_Pillow\Vo_Nikki_Std_Idle_Action_end02\Vo_Nikki_Std_Idle_Action_end02,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\Voices\Chinese(PRC)\Vo_Ability\Vo_Nikki_Std_Idle_Action_end02.wav,-19.0 ,-15.0 ,"{'max': 3.8548290729522705, 'min': 3.8548290729522705, 'type': 'oneShot'}",0,0,Vo_Nikki_Std_Idle_Action_end02,0,0,Nikki_Skill_Pillow,0,0,Nikki_Skill_Pillow,-2,0,Nikki_Skill_1_5_1,0,0,Dev1_5_1_3C,0,0,Dev1_5_1_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-18.0 ,-14.7 ,nikki_skill_purege_ball_dissipate_v4,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\OBT_3C\Nikki_Skill\Nikki_Skill\Nikki_Skill_OBT\Nikki_SfX\Nikki_Ability\Nikki_Skill_Purege\Nikki_Skill_Purege\Nikki_Skill_CBT3\nikki_skill_purege_ball_dissipate\nikki_skill_purege_ball_dissipate_v4,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\SFX\nikki\skill\20240104\nikki_skill_purege_ball_dissipate_v4.wav,-22.0 ,-18.7 ,"{'max': 1.363031268119812, 'min': 1.363031268119812, 'type': 'oneShot'}",0,0,nikki_skill_purege_ball_dissipate,-12,0,Nikki_Skill_CBT3,5,0,Nikki_Skill_Purege,6,0,Nikki_Skill_Purege,,,Nikki_Ability,4,0,Nikki_SfX,,,Nikki_Skill_OBT,,,Nikki_Skill,-2,0,Nikki_Skill,,,OBT_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,3
-18.1 ,-14.7 ,nikki_Float_start_V2,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\OBT_3C\Nikki_Skill\Nikki_Skill\Nikki_Skill_OBT\Nikki_SfX\Nikki_Ability\Nikki_Skill_Float\Nikki_Skill_Float\Nikki_Skill_Float_Default\nikki_Float_start_V2\nikki_Float_start_V2,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\SFX\nikki\float\nikki_Float_start_V2.wav,-23.1 ,-19.7 ,"{'max': 5.795916557312012, 'min': 5.795916557312012, 'type': 'oneShot'}",0,0,nikki_Float_start_V2,0,0,Nikki_Skill_Float_Default,0,0,Nikki_Skill_Float,0,0,Nikki_Skill_Float,,,Nikki_Ability,4,0,Nikki_SfX,,,Nikki_Skill_OBT,,,Nikki_Skill,-2,0,Nikki_Skill,,,OBT_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,3
