name	wwise_path	file_path	LUFS-I	LUFS-M-MAX	音频时长	OutPutBus_BusVolume	OutPutBus_Volume	父级名1	父级音量1	父级MakeUpGain1	父级名2	父级音量2	父级MakeUpGain2	父级名3	父级音量3	父级MakeUpGain3	父级名4	父级音量4	父级MakeUpGain4	父级名5	父级音量5	父级MakeUpGain5	父级名6	父级音量6	父级MakeUpGain6	父级名7	父级音量7	父级MakeUpGain7	父级名8	父级音量8	父级MakeUpGain8	父级名9	父级音量9	父级MakeUpGain9	父级名10	父级音量10	父级MakeUpGain10	父级名11	父级音量11	父级MakeUpGain11	父级名12	父级音量12	父级MakeUpGain12
UI_Activity_13_AutographAlbum_Fadein	\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_UI\UI_Main\UI_1_3\UI_1_3\Activity_AutographAlbum\UI_Activity_13_AutographAlbum_Fadein\UI_Activity_13_AutographAlbum_Fadein	D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\UI\Activity1.3\UI_Activity_13_AutographAlbum_Fadein.wav	-27.44648044	-24.19804057	"{'min': 2.4666666984558105, 'max': 2.4666666984558105, 'type': 'oneShot'}"	-10	0	UI_Activity_13_AutographAlbum_Fadein	0	0	Activity_AutographAlbum	0	0	UI_1_3	0	0	UI_1_3			UI_Main	0	0	X6_UI			X6_Audio	0	0	X6_Audio			X6_Audio			Actor-Mixer Hierarchy								
SFX_BK_Activity_Unlock_Bullquet	\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_UI\UI_Main\UI_1_3\UI_1_3\Activity_BK_Opener_Unlock\SFX_BK_Activity_Unlock_Bullquet\SFX_BK_Activity_Unlock_Bullquet	D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\UI\Activity1.3\SFX_BK_Activity_Unlock_Bullquet.wav	-24.04062773	-20.39642838	"{'min': 2.933333396911621, 'max': 2.933333396911621, 'type': 'oneShot'}"	-10	0	SFX_BK_Activity_Unlock_Bullquet	0	4	Activity_BK_Opener_Unlock	0	-4	UI_1_3	0	0	UI_1_3			UI_Main	0	0	X6_UI			X6_Audio	0	0	X6_Audio			X6_Audio			Actor-Mixer Hierarchy								
SFX_BK_Activity_Opener_Bullquet_V2	\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_UI\UI_Main\UI_1_3\UI_1_3\Activity_BK_Opener_Unlock\SFX_BK_Activity_Opener_Bullquet_V2\SFX_BK_Activity_Opener_Bullquet_V2	D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\UI\Activity1.3\SFX_BK_Activity_Opener_Bullquet_V2.wav	-36.5722799	-29.77167949	"{'min': 5.174020767211914, 'max': 5.174020767211914, 'type': 'oneShot'}"	0	0	SFX_BK_Activity_Opener_Bullquet_V2	0	12	Activity_BK_Opener_Unlock	0	-4	UI_1_3	0	0	UI_1_3			UI_Main	0	0	X6_UI			X6_Audio	0	0	X6_Audio			X6_Audio			Actor-Mixer Hierarchy								
SFX_BK_Activity_Opener_TheQueensLament_V2	\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_UI\UI_Main\UI_1_3\UI_1_3\Activity_BK_Opener_Unlock\SFX_BK_Activity_Opener_TheQueensLament_V2\SFX_BK_Activity_Opener_TheQueensLament_V2	D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\UI\Activity1.3\SFX_BK_Activity_Opener_TheQueensLament_V2.wav	-31.34982929	-28.76958687	"{'min': 4.933333396911621, 'max': 4.933333396911621, 'type': 'oneShot'}"	0	0	SFX_BK_Activity_Opener_TheQueensLament_V2	0	10	Activity_BK_Opener_Unlock	0	-4	UI_1_3	0	0	UI_1_3			UI_Main	0	0	X6_UI			X6_Audio	0	0	X6_Audio			X6_Audio			Actor-Mixer Hierarchy								
SFX_BK_Activity_Unlock_TheQueensLament_V2	\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_UI\UI_Main\UI_1_3\UI_1_3\Activity_BK_Opener_Unlock\SFX_BK_Activity_Unlock_TheQueensLament_V2\SFX_BK_Activity_Unlock_TheQueensLament_V2	D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\UI\Activity1.3\SFX_BK_Activity_Unlock_TheQueensLament_V2.wav	-31.51650278	-28.97149769	"{'min': 2.866666555404663, 'max': 2.866666555404663, 'type': 'oneShot'}"	-10	0	SFX_BK_Activity_Unlock_TheQueensLament_V2	0	8	Activity_BK_Opener_Unlock	0	-4	UI_1_3	0	0	UI_1_3			UI_Main	0	0	X6_UI			X6_Audio	0	0	X6_Audio			X6_Audio			Actor-Mixer Hierarchy								
UI_Activity_13_Bainiu_MainButton_Click	\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_UI\UI_Main\UI_1_3\UI_1_3\Activity_Bullquet_1_3_2\UI_Activity_13_BaiNiu\UI_Activity_13_Bainiu_MainButton_Click\UI_Activity_13_Bainiu_MainButton_Click	D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\UI\Activity1.3\UI_Activity_13_Bainiu_MainButton_Click.wav	-27.4976612	-24.25553134	"{'min': 3.0, 'max': 3.0, 'type': 'oneShot'}"	-10	0	UI_Activity_13_Bainiu_MainButton_Click	0	0	UI_Activity_13_BaiNiu	0	0	Activity_Bullquet_1_3_2	0	0	UI_1_3	0	0	UI_1_3			UI_Main	0	0	X6_UI			X6_Audio	0	0	X6_Audio			X6_Audio			Actor-Mixer Hierarchy					
UI_Activity_13_Bainiu_MainButton_Click_a	\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_UI\UI_Main\UI_1_3\UI_1_3\Activity_Bullquet_1_3_2\UI_Activity_13_BaiNiu\UI_Activity_13_Bainiu_MainButton_Click_a\UI_Activity_13_Bainiu_MainButton_Click_a	D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\UI\Activity1.3\UI_Activity_13_Bainiu_MainButton_Click_a.wav	-30.6699161	-24.04274038	"{'min': 1.8755208253860474, 'max': 1.8755208253860474, 'type': 'oneShot'}"	-10	0	UI_Activity_13_Bainiu_MainButton_Click_a	0	0	UI_Activity_13_BaiNiu	0	0	Activity_Bullquet_1_3_2	0	0	UI_1_3	0	0	UI_1_3			UI_Main	0	0	X6_UI			X6_Audio	0	0	X6_Audio			X6_Audio			Actor-Mixer Hierarchy					
UI_Activity_13_Bainiu_MainButton_Click_b	\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_UI\UI_Main\UI_1_3\UI_1_3\Activity_Bullquet_1_3_2\UI_Activity_13_BaiNiu\UI_Activity_13_Bainiu_MainButton_Click_b\UI_Activity_13_Bainiu_MainButton_Click_b	D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\UI\Activity1.3\UI_Activity_13_Bainiu_MainButton_Click_b.wav	-30.48573871	-24.04270733	"{'min': 1.9589999914169312, 'max': 1.9589999914169312, 'type': 'oneShot'}"	-10	0	UI_Activity_13_Bainiu_MainButton_Click_b	0	0	UI_Activity_13_BaiNiu	0	0	Activity_Bullquet_1_3_2	0	0	UI_1_3	0	0	UI_1_3			UI_Main	0	0	X6_UI			X6_Audio	0	0	X6_Audio			X6_Audio			Actor-Mixer Hierarchy					
UI_Activity_13_Bainiu_MainButton_Hover_a	\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_UI\UI_Main\UI_1_3\UI_1_3\Activity_Bullquet_1_3_2\UI_Activity_13_BaiNiu\UI_Activity_13_Bainiu_MainButton_Hover_a\UI_Activity_13_Bainiu_MainButton_Hover_a	D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\UI\Activity1.3\UI_Activity_13_Bainiu_MainButton_Hover_a.wav	-25.04293584	-23.0741553	"{'min': 1.0333333015441895, 'max': 1.0333333015441895, 'type': 'oneShot'}"	-10	0	UI_Activity_13_Bainiu_MainButton_Hover_a	0	0	UI_Activity_13_BaiNiu	0	0	Activity_Bullquet_1_3_2	0	0	UI_1_3	0	0	UI_1_3			UI_Main	0	0	X6_UI			X6_Audio	0	0	X6_Audio			X6_Audio			Actor-Mixer Hierarchy					
UI_Activity_13_Bainiu_MainButton_Hover_b	\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_UI\UI_Main\UI_1_3\UI_1_3\Activity_Bullquet_1_3_2\UI_Activity_13_BaiNiu\UI_Activity_13_Bainiu_MainButton_Hover_b\UI_Activity_13_Bainiu_MainButton_Hover_b	D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\UI\Activity1.3\UI_Activity_13_Bainiu_MainButton_Hover_b.wav	-25.04289879	-22.47402464	"{'min': 0.8666666746139526, 'max': 0.8666666746139526, 'type': 'oneShot'}"	-10	0	UI_Activity_13_Bainiu_MainButton_Hover_b	0	0	UI_Activity_13_BaiNiu	0	0	Activity_Bullquet_1_3_2	0	0	UI_1_3	0	0	UI_1_3			UI_Main	0	0	X6_UI			X6_Audio	0	0	X6_Audio			X6_Audio			Actor-Mixer Hierarchy					
